id,host_id,host_is_superhost,name,price,neighbourhood,host_name,beds,neighbourhood_group_cleansed,review_scores_rating
21624000,140101314,f,Rental unit in Porto · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,$27.00,"Porto, Portugal",Catarina,1,PORTO,4.69
21623944,157315501,f,Rental unit in Porto · ★4.88 · 3 bedrooms · 4 beds · 1 bath,$290.00,,Pedro,4,PORTO,4.88
21623932,100917523,t,Rental unit in Porto · ★4.68 · 1 bedroom · 1 bed · 1 bath,$53.00,"Porto, Portugal",Luís,1,PORTO,4.68
21623718,140101314,f,Rental unit in Porto · ★4.82 · 1 bedroom · 2 beds · 1.5 shared baths,$27.00,"Porto, Portugal",Catarina,2,PORTO,4.82
21622555,157300915,t,Rental unit in Porto · ★4.72 · 1 bedroom · 2 beds · 1 private bath,$35.00,"Porto, Portugal",Dima,2,PORTO,4.72
21601416,5510997,t,Townhouse in Porto · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,$41.00,"Porto, Portugal",António & Fátima,1,PORTO,4.82
21595885,140101314,f,Rental unit in Porto · ★4.77 · 3 bedrooms · 4 beds · 1.5 baths,$68.00,"Porto, Portugal",Catarina,4,PORTO,4.77
21595439,116104069,t,Rental unit in Porto · ★4.75 · 1 bedroom · 2 beds · 1 bath,$30.00,"Porto, Portugal",Jorge,2,PORTO,4.75
21593339,157047656,t,Loft in Porto · ★4.94 · 2 bedrooms · 3 beds · 1 bath,$93.00,"Porto, Portugal",Maria,3,PORTO,4.94
21587614,71506208,f,Rental unit in Porto · ★4.57 · Studio · 1 bed · 1 bath,$45.00,"Porto, Portugal",Carolina,1,PORTO,4.57
21587472,71506208,f,Rental unit in Porto · ★4.63 · Studio · 1 bed · 1 bath,$43.00,"Porto, Portugal",Carolina,1,PORTO,4.63
21587330,71506208,f,Rental unit in Porto · ★4.56 · Studio · 2 beds · 1 bath,$42.00,"Porto, Portugal",Carolina,2,PORTO,4.56
21586673,71506208,f,Rental unit in Porto · ★4.62 · Studio · 1 bed · 1 bath,$46.00,"Porto, Portugal",Carolina,1,PORTO,4.62
21584236,78759545,f,Home in Porto · 2 bedrooms · 2 beds · 1 private bath,$58.00,"Porto, Portugal",Esmeralda Et Richard,2,PORTO,5.0
21584114,78759545,f,Home in Porto · ★4.75 · 1 bedroom · 1 bed · 1 private bath,$58.00,"Porto, Portugal",Esmeralda Et Richard,1,PORTO,4.75
21584004,78759545,f,Home in Porto · ★4.50 · 1 bedroom · 1 bed · 1 private bath,$58.00,"Porto, Portugal",Esmeralda Et Richard,1,PORTO,4.5
21551557,5510997,t,Townhouse in Porto · ★4.85 · 1 bedroom · 1 bed · 2 shared baths,$44.00,"Porto, Portugal",António & Fátima,1,PORTO,4.85
21551188,5510997,t,Townhouse in Porto · ★4.91 · 1 bedroom · 1 bed · 2 shared baths,$35.00,"Porto, Portugal",António & Fátima,1,PORTO,4.91
21547078,56391876,f,Rental unit in Leça da Palmeira · ★4.81 · 2 bedrooms · 2 beds · 2.5 baths,,"Leça da Palmeira, Porto, Portugal",Renato,2,MATOSINHOS,4.81
21546710,156649257,f,Rental unit in Porto · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,,,Ruben,1,PORTO,4.88
21544538,50222081,t,Rental unit in Porto · ★4.92 · Studio · 1 bed · 1 bath,$97.00,"Porto, Portugal",Rita Lemos Almeida,1,PORTO,4.92
21539685,150165386,f,Rental unit in Porto · ★4.84 · 2 bedrooms · 3 beds · 2 baths,$88.00,"Porto, Portugal",Isabel,3,PORTO,4.84
21534291,29221136,t,Rental unit in Porto · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,$500.00,"Porto, Portugal",Dvnest,1,PORTO,4.88
21528978,147948897,t,Rental unit in Porto · ★4.98 · 1 bedroom · 2 beds · 1 bath,$67.00,"Porto, Portugal",Flora,2,PORTO,4.98
21525970,5639436,f,Rental unit in Porto · ★4.68 · Studio · 2 beds · 1 bath,$55.00,"Porto, Portugal",Isa,2,PORTO,4.68
21523368,17789572,t,Rental unit in Porto · ★4.80 · 1 bedroom · 6 beds · 1 bath,$92.00,,Oporto Trendy Apartments,6,PORTO,4.8
21523101,156413058,f,Rental unit in Porto · ★4.67 · 1 bedroom · 1 bed · 1 bath,$69.00,"Porto, Portugal",Sílvia,1,PORTO,4.67
21522126,124699338,t,Condo in Porto · ★4.95 · 2 bedrooms · 3 beds · 1 bath,$100.00,"Porto, Portugal",Merc,3,PORTO,4.95
21514601,156334940,t,Guest suite in Vila do Conde · 1 bedroom · 1 bed · 1 private bath,$70.00,,Cheila,1,VILA DO CONDE,5.0
21514366,156319757,f,Rental unit in Porto · 1 bedroom · 2 beds · 1 bath,$229.00,,Viriato,2,PORTO,4.0
21514017,156319757,f,Rental unit in Porto · ★5.0 · 1 bedroom · 2 beds · 1 bath,$179.00,,Viriato,2,PORTO,5.0
